t/Ri ,a/c ,a/t ,"A0, G0","A0, G1","A1, G0","A1, G1","A2, G0","A2, G1","A3, G0","A3, G1","A4, G0","A4, G1","A5, G0","A5, G1","A6, G0","A6, G1"
0.05,1,0.2,1.2317647,0.2185075,-1.2668535,0.1721631,5.2719942,3.3030368,-14.37548,-9.3243704,22.71364,14.064573,-18.634068,-11.49867,6.1234149,3.7993477
0.05,1,0.4,1.328065,0.228873,-1.00672,0.542533,1.884077,0.771876,-0.47187,-0.52723,-3.3649,-1.29307,4.560898,1.685327,-1.80163,-0.6337
0.05,1,0.6,1.449884,0.264791,-1.20615,0.486856,2.160518,0.840278,-1.08882,-0.68309,-2.22306,-0.97408,3.452276,1.351834,-1.38207,-0.50127
0.05,1,0.8,1.598647,0.300477,-1.44001,0.463146,2.279592,0.720319,-1.23604,-0.38845,-1.66468,-1.13954,2.610051,1.272242,-0.96869,-0.42378
0.05,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0.05,2,0.2,0.8261869,0.1343782,-0.9760945,0.0647996,3.9159333,3.235802,-11.828914,-9.7518926,19.270954,14.621269,-16.25417,-12.01704,5.5646493,4.1281758
0.05,2,0.4,0.8404268,0.144307,-0.3327374,0.0426802,-0.7716352,3.3560498,3.4961782,-10.087084,-6.3579059,15.121007,5.0391431,-12.41998,-1.3957126,4.2634049
0.05,2,0.6,0.872126,0.1521311,-0.3774122,0.0386765,-0.8225068,3.3191844,3.8259304,-9.9331613,-6.9952612,14.859339,5.5798197,-12.233733,-1.5623326,4.2193345
0.05,2,0.8,0.9313062,0.1491534,-1.0113444,0.2059118,2.9977317,2.1482404,-8.1240616,-6.1418067,12.547051,8.5120738,-10.425995,-6.9013685,3.6200006,2.4416991
0.1,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.1,0.03125,0.2,0.2137025,0.0052475,1.4325421,0.1259041,4.1167565,2.6736467,-19.216759,-4.5590793,33.34444,5.2686292,-26.945303,-4.1357154,8.2464142,1.3041985
0.1,0.03125,0.4,0.197915,0.0040005,1.9340145,0.1461665,1.4781131,2.5347969,-9.2801878,-3.8021141,19.142396,5.355373,-17.924063,-5.2227792,6.0232196,1.8176331
0.1,0.03125,0.6,0.1860194,0.002099,2.5432457,0.1774103,-2.3392398,2.3394685,6.5940454,-2.7383263,-5.3262654,5.4523448,-0.8960931,-6.6666842,1.3680747,2.4847314
0.1,0.03125,0.8,0.1754774,0.0002774,2.995743,0.1921685,-5.6326095,2.1887636,23.66596,-1.5273413,-34.288886,5.0483569,21.52179,-7.1411578,-5.5542454,2.587476
