t/Ri,a/c,a/t ,"A0, G0","A0, G1","A0, G5","A0, G6","A1, G0","A1, G1","A1, G5","A1, G6","A2, G0","A2, G1","A2, G5","A2, G6","A3, G0","A3, G1","A3, G5","A3, G6","A4, G0","A4, G1","A4, G5","A4, G6","A5, G0","A5, G1","A5, G5","A5, G6","A6, G0","A6, G1","A6, G5","A6, G6"
0.01667,0.03125,0.2,0.2107226,0.006538,0.2063955,-0.023386,2.4486536,0.2344969,2.4043109,-0.256598,-1.2264604,2.3813083,-1.224888,0.538961,-12.2572922,0,0,0,10.233171,3.0827443,9.8578431,1.899044,-22.2294059,0,0,0,3.0496836,0.792159,2.9644987,0.209067
0.01667,0.03125,0.4,0.22735,0.018966,0.194537,-0.07439,2.899478,0.303749,3.439034,0.448359,-3.07028,1.883692,-9.01232,-9.40449,2.845911,-0.63545,25.94297,38.83122,2.435876,-1.91722,-38.952,-70.5254,-6.30164,1.967167,28.57639,60.34637,2.74114,-0.68974,-8.44444,-19.6217
0.01667,0.03125,0.6,0.259504,0.025718,0.240382,-0.069926,3.046036,0.372792,2.836976,-1.024561,-2.30266,1.834776,-1.96776,2.558686,5.147609,0.718434,4.545851,-8.43462,-0.25049,-1.95865,1.22751,15.170731,-26.950177,0,0,0,3.72962,0.72191,4.222222,2.624758
0.01667,0.03125,0.8,0.312596,0.03677,0.309783,-0.159532,3.17917,0.355318,1.863147,0.08321,-0.93084,2.261108,8.125757,-6.947704,13.40961,2.01258,-20.2648,11.215244,-18.1255,-1.65028,43.97252,1.071888,3.224809,-4.70438,-50,-9.911704,2.49792,3.26049,19.57143,4.627281
0.01667,0.0625,0,0.2695332,0.0138667,0.2651144,0,2.1626001,0.1827458,2.1271475,0,-1.6551569,2.5749608,-1.6280233,0,-1.2970208,-3.9044679,-1.2757584,0,4.5604304,3.3556301,4.4856689,0,-4.3163876,-2.1772209,-4.2456275,0,1.4010655,0.6420134,1.3780977,0
0.01667,0.0625,0.2,0.282958,0.0182587,0.2780593,-0.022551,2.0531713,0.2137291,2.0296062,0.027233,-0.9203782,2.5327625,-0.9496222,-0.440279,-1.6053672,-4.0829513,-1.445219,0.854001,3.1800418,4.3084495,2.9402537,-0.532856,-2.3249558,-3.3473999,-2.1624704,0.246004,0.5812694,1.0827066,0.5394203,-0.128884
0.01667,0.0625,0.4,0.31772,0.037931,0.308132,-0.03496,2.478958,0.322569,2.358829,-0.23948,-2.06368,1.764793,-1.40437,0.225248,2.353408,-0.7186,-0.13041,-0.06168,-1.26879,-1.37966,3.61341,0.617893,-0.47711,1.364092,-5.01556,-0.85962,0.31788,-0.49726,1.904762,0.352602
0.01667,0.0625,0.6,0.373139,0.051437,0.340135,-0.073271,3.029841,0.346661,3.461952,0.115349,-3.69572,2.506982,-7.60209,-2.62571,10.93337,-2.53194,24.31292,6.794363,-14.841,2.305525,-36.6148,-6.887063,8.052859,-2.53414,25.00901,3.354405,-1.58497,0.95187,-6.66667,-0.680833
0.01667,0.0625,0.8,0.51268,0.073539,0.493374,-0.135315,2.574607,0.394695,2.544268,0.91408,4.100699,3.25618,3.77761,-9.220912,-6.70709,-2.65153,-5.65592,21.912621,7.19388,1.10693,6.389723,-17.958429,-9.52942,-1.99051,-9.59471,2.210734,4.71483,1.11242,4.903226,2.257889
0.01667,0.125,0,0.4065238,0.032027,0.3998597,0,0.7772483,0.1825342,0.7645062,0,3.8861644,2.2670449,3.8224564,0,-12.573943,-2.7076615,-12.367813,0,16.760207,1.2088194,16.48545,0,-11.014593,-0.377743,-10.834026,0,2.8706957,0.0763155,2.8236354,0
0.01667,0.125,0.2,0.4127878,0.0477082,0.4051564,-0.025739,1.1288265,0.0127494,1.1427315,0.223925,1.8044046,3.921537,1.5835103,-1.065607,-6.4152938,-9.0953666,-5.7158859,1.360447,8.1001222,12.638799,7.0488009,0.32125,-20.7979366,0,0,0,1.3099846,3.0356787,1.091022,0.60462
0.01667,0.125,0.4,0.475991,0.0625368,0.471702,-0.02235,1.614929,0.2593641,1.310728,-0.21058,0.05631,2.187352,2.210757,1.096046,-14.3657962,0,0,0,-1.80586,1.6083652,10.75068,6.514956,2.770215,-1.1599244,-7.49606,-5.48483,-1.22882,0.3987083,2,1.753235
0.01667,0.125,0.6,0.604108,0.087204,0.593583,-0.063282,1.701839,0.376779,1.501873,0.408124,1.297662,1.921479,2.701905,-2.684258,-2.34547,-0.95058,-7.31228,5.239572,0.043552,-1.42526,8.753426,-3.138512,1.162999,1.353735,-6.14815,-0.518986,-0.57117,-0.41197,1.777778,0.761122
